A1ATR_HUMAN,ARGS,2407
A1ATR_HUMAN,PIL,2409
A1ATR_HUMAN,Protease inhibitor 1-like,2411
A1ATR_HUMAN,Serpin A2,2412
A1ATR_HUMAN,SERPINA2,2406
A1ATR_HUMAN,SERPINA2P,2410
AAK1_HUMAN,AAK1,757
AAK1_HUMAN,Adaptor-associated kinase 1,759
AAK1_HUMAN,KIAA1048,758
AAKG2_HUMAN,AMPKG2,4269
AAPK1_HUMAN,ACACA kinase,508
AAPK1_HUMAN,Acetyl-CoA carboxylase kinase,507
AAPK1_HUMAN,AMPK (hum),4042
AAPK1_HUMAN,AMPK subunit alpha-1,506
AAPK1_HUMAN,AMPK1,505
AAPK1_HUMAN,AMPKA1,4075
AAPK1_HUMAN,HMGCR kinase,510
AAPK1_HUMAN,Hydroxymethylglutaryl-CoA reductase kinase,509
AAPK1_HUMAN,PRKAA1,504
AAPK1_HUMAN,Tau-protein kinase PRKAA1,511
AAPK2_HUMAN,AMPK,1281
AAPK2_HUMAN,AMPK subunit alpha-2,1283
AAPK2_HUMAN,AMPK2,1282
AAPK2_HUMAN,AMPKA2,4077
AAPK2_HUMAN,PRKAA2,1280
ABL1_HUMAN,Abelson murine leukemia viral oncogene homolog 1,2649
ABL1_HUMAN,Abelson tyrosine-protein kinase 1,2650
ABL1_HUMAN,ABL,2647
ABL1_HUMAN,Abl,4069
ABL1_HUMAN,ABL1,2646
ABL1_HUMAN,JTK7,2648
ABL1_HUMAN,p150,2652
ABL1_HUMAN,Proto-oncogene c-Abl,2651
ABL2_HUMAN,Abelson murine leukemia viral oncogene homolog 2,1911
ABL2_HUMAN,Abelson tyrosine-protein kinase 2,1912
ABL2_HUMAN,Abelson-related gene protein,1913
ABL2_HUMAN,ABL2,1908
ABL2_HUMAN,ABLL,1909
ABL2_HUMAN,ARG,1910
ABL2_HUMAN,Arg,4121
ABL2_HUMAN,Tyrosine-protein kinase ARG,1914
ACK1_HUMAN,Ack,4081
ACK1_HUMAN,ACK1,2580
ACK1_HUMAN,ACK-1,2581
ACK1_HUMAN,TNK2,2579
ACK1_HUMAN,Tyrosine kinase non-receptor protein 2,2582
ACV1B_HUMAN,Activin receptor type IB,2529
ACV1B_HUMAN,Activin receptor-like kinase 4,2531
ACV1B_HUMAN,ACTR-IB,2530
ACV1B_HUMAN,ACVR1B,2526
ACV1B_HUMAN,ACVRLK4,2527
ACV1B_HUMAN,ALK4,2528
ACV1B_HUMAN,ALK-4,2532
ACV1B_HUMAN,Serine/threonine-protein kinase receptor R2,2533
ACV1B_HUMAN,SKR2,2534
ACV1C_HUMAN,Activin receptor type IC,3176
ACV1C_HUMAN,Activin receptor-like kinase 7,3178
ACV1C_HUMAN,ACTR-IC,3177
ACV1C_HUMAN,ACVR1C,3174
ACV1C_HUMAN,ALK7,3175
ACV1C_HUMAN,ALK-7,3179
ACVL1_HUMAN,Activin receptor-like kinase 1,1101
ACVL1_HUMAN,ACVRL1,1097
ACVL1_HUMAN,ACVRLK1,1098
ACVL1_HUMAN,ALK1,1099
ACVL1_HUMAN,ALK-1,1102
ACVL1_HUMAN,SKR3,1100
ACVR1_HUMAN,Activin receptor type I,706
ACVR1_HUMAN,Activin receptor-like kinase 2,708
ACVR1_HUMAN,ACTR-I,707
ACVR1_HUMAN,ACVR1,704
ACVR1_HUMAN,ACVRLK2,705
ACVR1_HUMAN,ALK-2,709
ACVR1_HUMAN,Serine/threonine-protein kinase receptor R1,710
ACVR1_HUMAN,SKR1,711
ACVR1_HUMAN,TGF-B superfamily receptor type I,712
ACVR1_HUMAN,TSR-I,713
ADCK1_HUMAN,ADCK1,596
ADCK2_HUMAN,AARF,2520
ADCK2_HUMAN,ADCK2,2519
ADCK5_HUMAN,ADCK5,1142
AKT1_HUMAN,AKT1,1825
AKT1_HUMAN,Akt1,4057
AKT1_HUMAN,PKB,1826
AKT1_HUMAN,PKB alpha,1830
AKT1_HUMAN,Protein kinase B,1828
AKT1_HUMAN,Protein kinase B alpha,1829
AKT1_HUMAN,Proto-oncogene c-Akt,1831
AKT1_HUMAN,RAC,1827
AKT1_HUMAN,RAC-PK-alpha,1832
AKT2_HUMAN,AKT2,939
AKT2_HUMAN,Akt2,4107
AKT2_HUMAN,PKB beta,942
AKT2_HUMAN,Protein kinase Akt-2,940
AKT2_HUMAN,Protein kinase B beta,941
AKT2_HUMAN,RAC-PK-beta,943
AKT3_HUMAN,AKT3,458
AKT3_HUMAN,Akt3,4089
AKT3_HUMAN,PKB gamma,462
AKT3_HUMAN,PKBG,459
AKT3_HUMAN,Protein kinase Akt-3,460
AKT3_HUMAN,Protein kinase B gamma,461
AKT3_HUMAN,RAC-PK-gamma,463
AKT3_HUMAN,STK-2,464
ALK_HUMAN,ALK,193
ALK_HUMAN,Anaplastic lymphoma kinase,194
ALK_HUMAN,CD antigen CD246,195
ALPK1_HUMAN,ALPK1,3083
ALPK1_HUMAN,Chromosome 4 kinase,3086
ALPK1_HUMAN,KIAA1527,3084
ALPK1_HUMAN,LAK,3085
ALPK1_HUMAN,Lymphocyte alpha-protein kinase,3087
ALPK2_HUMAN,ALPK2,136
ALPK2_HUMAN,HAK,137
ALPK2_HUMAN,Heart alpha-protein kinase,138
ALPK3_HUMAN,ALPK3,730
ALPK3_HUMAN,KIAA1330,731
ALPK3_HUMAN,Muscle alpha-protein kinase,733
AMHR2_HUMAN,AMH type II receptor,1953
AMHR2_HUMAN,AMHR,1950
AMHR2_HUMAN,AMHR2,1949
AMHR2_HUMAN,Anti-Muellerian hormone type II receptor,1952
AMHR2_HUMAN,MIS type II receptor,1954
AMHR2_HUMAN,MISR2,1951
AMHR2_HUMAN,MISRII,1955
AMHR2_HUMAN,MRII,1956
ANKK1_HUMAN,ANKK1,2335
ANKK1_HUMAN,PKK2,2336
ANKK1_HUMAN,Protein kinase PKK2,2338
ANKK1_HUMAN,SGK288,2337
ANKK1_HUMAN,SgK288,2340
ANKK1_HUMAN,Sugen kinase 288,2339
ANKK1_HUMAN,X-kinase,2341
ANPRA_HUMAN,ANP-A,2953
ANPRA_HUMAN,ANPRA,2951
ANPRA_HUMAN,ANPR-A,2954
ANPRA_HUMAN,Atrial natriuretic peptide receptor type A,2952
ANPRA_HUMAN,GC-A,2957
ANPRA_HUMAN,Guanylate cyclase A,2956
ANPRA_HUMAN,NPR1,2950
ANPRA_HUMAN,NPR-A,2955
ANPRB_HUMAN,ANP-B,2633
ANPRB_HUMAN,ANPRB,2631
ANPRB_HUMAN,ANPR-B,2634
ANPRB_HUMAN,Atrial natriuretic peptide receptor type B,2632
ANPRB_HUMAN,GC-B,2637
ANPRB_HUMAN,Guanylate cyclase B,2636
ANPRB_HUMAN,NPR2,2630
ANPRB_HUMAN,NPR-B,2635
ANTR1_HUMAN,ANTXR1,658
ANTR1_HUMAN,TEM8,660
ANTR1_HUMAN,Tumor endothelial marker 8,661
ARAF_HUMAN,ARAF,2291
ARAF_HUMAN,ARAF1,2292
ARAF_HUMAN,PKS,2293
ARAF_HUMAN,PKS2,2294
ARAF_HUMAN,Proto-oncogene A-Raf,2295
ARAF_HUMAN,Proto-oncogene A-Raf-1,2296
ARAF_HUMAN,Proto-oncogene Pks,2297
ARBK1_HUMAN,ADRBK1,745
ARBK1_HUMAN,BARK,746
ARBK1_HUMAN,BARK1,747
ARBK1_HUMAN,Beta-ARK-1,748
ARBK1_HUMAN,G-protein coupled receptor kinase 2,749
ARBK1_HUMAN,GRK2,744
ARBK2_HUMAN,ADRBK2,1248
ARBK2_HUMAN,BARK2,1249
ARBK2_HUMAN,Beta-ARK-2,1250
ARBK2_HUMAN,G-protein-coupled receptor kinase 3,1251
ARBK2_HUMAN,GRK3,1247
ATM_HUMAN,A-T mutated,2415
ATM_HUMAN,Ataxia telangiectasia mutated,2414
ATM_HUMAN,ATM,2413
ATR_HUMAN,Ataxia telangiectasia and Rad3-related protein,2486
ATR_HUMAN,ATR,2484
ATR_HUMAN,FRAP-related protein 1,2487
ATR_HUMAN,FRP1,2485
AURKA_HUMAN,AIK,1480
AURKA_HUMAN,AIRK1,1481
AURKA_HUMAN,ARK1,1482
AURKA_HUMAN,ARK-1,1491
